0	1.07184E-7	-1.62942E-8	-3.3765E-8
0.01	1.06851E-7	-1.25981E-8	-2.92832E-8
0.02	1.06287E-7	-7.65117E-9	-2.47879E-8
0.03	1.05263E-7	1.38751E-9	-2.02796E-8
0.04	1.03683E-7	2.28712E-8	-1.55584E-8
0.05	1.01801E-7	7.24828E-8	-1.08542E-8
0.06	9.95886E-8	1.75088E-7	-6.10457E-9
0.07	9.72574E-8	3.6532E-7	-1.28479E-9
0.08	9.46788E-8	6.86156E-7	3.53271E-9
0.09	9.15925E-8	1.18587E-6	8.26117E-9
0.1	8.82382E-8	1.91482E-6	1.29361E-8
0.11	8.49941E-8	2.92085E-6	1.7533E-8
0.12	8.14501E-8	4.2453E-6	2.20355E-8
0.13	7.76734E-8	5.91801E-6	2.63234E-8
0.14	7.39338E-8	7.95356E-6	3.04087E-8
0.15	7.03439E-8	1.03494E-5	3.43125E-8
0.16	6.68801E-8	1.30824E-5	3.79143E-8
0.17	6.36029E-8	1.61099E-5	4.10561E-8
0.18	6.03888E-8	1.93692E-5	4.39294E-8
0.19	5.78053E-8	2.27796E-5	4.63726E-8
0.2	5.54888E-8	2.62452E-5	4.82465E-8
0.21	5.38839E-8	2.96595E-5	4.95887E-8
0.22	5.28478E-8	3.29085E-5	5.04155E-8
0.23	5.22708E-8	3.58761E-5	5.06367E-8
0.24	5.25049E-8	3.84491E-5	5.03298E-8
0.25	5.34228E-8	4.0522E-5	4.91988E-8
0.26	5.49689E-8	4.20014E-5	4.74953E-8
0.27	5.71257E-8	4.28099E-5	4.52501E-8
0.28	5.98904E-8	4.28891E-5	4.23449E-8
0.29	6.3135E-8	4.22023E-5	3.91057E-8
0.3	6.67283E-8	4.07361E-5	3.50558E-8
0.31	7.05269E-8	3.84999E-5	3.07662E-8
0.32	7.44539E-8	3.5526E-5	2.58913E-8
0.33	7.85163E-8	3.18687E-5	2.07666E-8
0.34	8.27297E-8	2.76014E-5	1.52545E-8
0.35	8.63732E-8	2.28137E-5	9.41543E-9
0.36	9.00334E-8	1.76083E-5	3.4427E-9
0.37	9.33806E-8	1.20971E-5	-2.63008E-9
0.38	9.63193E-8	6.39745E-6	-8.88844E-9
0.39	9.88334E-8	6.27838E-7	-1.51681E-8
0.4	1.00952E-7	-5.09562E-6	-2.13941E-8
0.41	1.025E-7	-1.06633E-5	-2.76025E-8
0.42	1.03714E-7	-1.59747E-5	-3.3569E-8
0.43	1.04029E-7	-2.09415E-5	-3.94916E-8
0.44	1.03886E-7	-2.54894E-5	-4.51554E-8
0.45	1.03006E-7	-2.95602E-5	-5.04638E-8
0.46	1.01379E-7	-3.3112E-5	-5.55912E-8
0.47	9.90194E-8	-3.612E-5	-6.02714E-8
0.48	9.57308E-8	-3.85754E-5	-6.45752E-8
0.49	9.15336E-8	-4.04851E-5	-6.83458E-8
0.5	8.65474E-8	-4.18711E-5	-7.16611E-8
0.51	8.04256E-8	-4.27663E-5	-7.45981E-8
0.52	7.35436E-8	-4.32148E-5	-7.69088E-8
0.53	6.58883E-8	-4.32685E-5	-7.87573E-8
0.54	5.72952E-8	-4.29849E-5	-8.0104E-8
0.55	4.81635E-8	-4.24245E-5	-8.08456E-8
0.56	3.85389E-8	-4.16486E-5	-8.11133E-8
0.57	2.82795E-8	-4.07173E-5	-8.06584E-8
0.58	1.79189E-8	-3.96872E-5	-7.9842E-8
0.59	7.7342E-9	-3.86099E-5	-7.85343E-8
0.6	-2.32332E-9	-3.75309E-5	-7.67581E-8
0.61	-1.18413E-8	-3.64881E-5	-7.45842E-8
0.62	-2.08401E-8	-3.55112E-5	-7.20536E-8
0.63	-2.89853E-8	-3.46222E-5	-6.9008E-8
0.64	-3.61834E-8	-3.38343E-5	-6.5733E-8
0.65	-4.2214E-8	-3.31527E-5	-6.20977E-8
0.66	-4.74369E-8	-3.25761E-5	-5.82169E-8
0.67	-5.12826E-8	-3.2096E-5	-5.40705E-8
0.68	-5.39622E-8	-3.16989E-5	-4.96319E-8
0.69	-5.58572E-8	-3.13668E-5	-4.50083E-8
0.7	-5.65652E-8	-3.10786E-5	-4.01495E-8
0.71	-5.65435E-8	-3.08117E-5	-3.50719E-8
0.72	-5.56506E-8	-3.05423E-5	-2.98529E-8
0.73	-5.41461E-8	-3.02476E-5	-2.45237E-8
0.74	-5.21993E-8	-2.99058E-5	-1.90602E-8
0.75	-5.00287E-8	-2.94974E-5	-1.34373E-8
0.76	-4.78416E-8	-2.9006E-5	-7.8218E-9
0.77	-4.53759E-8	-2.84187E-5	-2.14428E-9
0.78	-4.32568E-8	-2.77263E-5	3.51159E-9
0.79	-4.12662E-8	-2.69237E-5	8.95213E-9
0.8	-3.97917E-8	-2.60094E-5	1.43124E-8
0.81	-3.87628E-8	-2.4986E-5	1.9429E-8
0.82	-3.80309E-8	-2.38593E-5	2.41983E-8
0.83	-3.80373E-8	-2.26383E-5	2.85449E-8
0.84	-3.86688E-8	-2.13346E-5	3.2417E-8
0.85	-3.9865E-8	-1.99611E-5	3.58857E-8
0.86	-4.16878E-8	-1.8533E-5	3.87722E-8
0.87	-4.42443E-8	-1.70654E-5	4.08868E-8
0.88	-4.71113E-8	-1.55738E-5	4.23583E-8
0.89	-5.08488E-8	-1.40735E-5	4.31284E-8
0.9	-5.48293E-8	-1.25786E-5	4.31699E-8
0.91	-5.90559E-8	-1.11022E-5	4.24855E-8
0.92	-6.37182E-8	-9.65553E-6	4.10752E-8
0.93	-6.85565E-8	-8.24796E-6	3.91565E-8
0.94	-7.33302E-8	-6.88667E-6	3.64515E-8
0.95	-7.80671E-8	-5.57715E-6	3.32634E-8
0.96	-8.23615E-8	-4.32236E-6	2.9751E-8
0.97	-8.65777E-8	-3.12361E-6	2.57872E-8
0.98	-9.02976E-8	-1.98033E-6	2.16233E-8
0.99	-9.37293E-8	-8.89956E-7	1.74622E-8
1	-9.62355E-8	1.50818E-7	1.30607E-8
1.01	-9.82496E-8	1.14653E-6	9.0761E-9
1.02	-9.96408E-8	2.10267E-6	5.16101E-9
1.03	-1.00384E-7	3.02512E-6	1.69815E-9
1.04	-1.00469E-7	3.91967E-6	-1.45225E-9
1.05	-9.98046E-8	4.79184E-6	-4.1433E-9
1.06	-9.84213E-8	5.6475E-6	-6.23481E-9
1.07	-9.67149E-8	6.49108E-6	-7.63516E-9
1.08	-9.42666E-8	7.32679E-6	-8.40673E-9
1.09	-9.13648E-8	8.15754E-6	-8.57764E-9
1.1	-8.80058E-8	8.98595E-6	-8.05518E-9
1.11	-8.4306E-8	9.81262E-6	-6.93919E-9
1.12	-8.04343E-8	1.06379E-5	-5.1116E-9
1.13	-7.60603E-8	1.14613E-5	-2.76824E-9
1.14	-7.17226E-8	1.22811E-5	1.26216E-10
1.15	-6.70968E-8	1.30953E-5	3.54218E-9
1.16	-6.2612E-8	1.39007E-5	7.31133E-9
1.17	-5.80671E-8	1.46943E-5	1.13804E-8
1.18	-5.36725E-8	1.54723E-5	1.56537E-8
1.19	-4.89323E-8	1.6231E-5	2.00618E-8
1.2	-4.49961E-8	1.6967E-5	2.45239E-8
1.21	-4.1198E-8	1.76767E-5	2.91213E-8
1.22	-3.73432E-8	1.83567E-5	3.34413E-8
1.23	-3.39244E-8	1.90043E-5	3.76129E-8
1.24	-3.05196E-8	1.96171E-5	4.14887E-8
1.25	-2.75407E-8	2.0193E-5	4.49989E-8
1.26	-2.43632E-8	2.07308E-5	4.80915E-8
1.27	-2.12996E-8	2.12296E-5	5.06442E-8
1.28	-1.8233E-8	2.16891E-5	5.26144E-8
1.29	-1.50137E-8	2.211E-5	5.40044E-8
1.3	-1.16884E-8	2.24924E-5	5.47215E-8
1.31	-8.27483E-9	2.28379E-5	5.48046E-8
1.32	-4.50692E-9	2.31473E-5	5.4314E-8
1.33	-4.45451E-10	2.34227E-5	5.31076E-8
1.34	3.89847E-9	2.36659E-5	5.12623E-8
1.35	8.55747E-9	2.38788E-5	4.88548E-8
1.36	1.36771E-8	2.40631E-5	4.59754E-8
1.37	1.87359E-8	2.42207E-5	4.26408E-8
1.38	2.40796E-8	2.43538E-5	3.88781E-8
1.39	2.96583E-8	2.44636E-5	3.48767E-8
1.4	3.50761E-8	2.45514E-5	3.05851E-8
1.41	4.06216E-8	2.46189E-5	2.62971E-8
1.42	4.58453E-8	2.46666E-5	2.18221E-8
1.43	5.09052E-8	2.46956E-5	1.75442E-8
1.44	5.56456E-8	2.47058E-5	1.32565E-8
1.45	5.97678E-8	2.46979E-5	9.31E-9
1.46	6.32556E-8	2.4672E-5	5.49686E-9
1.47	6.61912E-8	2.46277E-5	2.0116E-9
1.48	6.82029E-8	2.4565E-5	-1.04741E-9
1.49	6.94805E-8	2.44837E-5	-3.59684E-9
1.5	6.95937E-8	2.43832E-5	-5.80414E-9
1.51	6.90039E-8	2.42633E-5	-7.43282E-9
1.52	6.72448E-8	2.41237E-5	-8.64363E-9
1.53	6.44242E-8	2.39641E-5	-9.43288E-9
