0 -1.5537E-6 -3.17627E-6 4.17799E-7
0.01 -1.60764E-6 -3.11132E-6 5.12468E-7
0.02 -1.65222E-6 -3.04968E-6 6.11092E-7
0.03 -1.68689E-6 -2.99096E-6 7.12654E-7
0.04 -1.71154E-6 -2.93237E-6 8.15718E-7
0.05 -1.7248E-6 -2.87121E-6 9.20033E-7
0.06 -1.72683E-6 -2.80506E-6 1.02438E-6
0.07 -1.71768E-6 -2.73057E-6 1.12834E-6
0.08 -1.69673E-6 -2.64439E-6 1.23168E-6
0.09 -1.6652E-6 -2.54418E-6 1.33396E-6
0.1 -1.62318E-6 -2.42677E-6 1.43551E-6
0.11 -1.5717E-6 -2.29041E-6 1.53638E-6
0.12 -1.51174E-6 -2.13293E-6 1.63683E-6
0.13 -1.44508E-6 -1.95275E-6 1.73707E-6
0.14 -1.37284E-6 -1.75018E-6 1.83733E-6
0.15 -1.29759E-6 -1.52486E-6 1.93814E-6
0.16 -1.22068E-6 -1.27738E-6 2.03886E-6
0.17 -1.14401E-6 -1.00986E-6 2.14019E-6
0.18 -1.06958E-6 -7.23377E-7 2.24131E-6
0.19 -9.99364E-7 -4.21873E-7 2.34123E-6
0.2 -9.34563E-7 -1.0724E-7 2.43969E-6
0.21 -8.76822E-7 2.15951E-7 2.5352E-6
0.22 -8.26821E-7 5.44162E-7 2.62629E-6
0.23 -7.84584E-7 8.73555E-7 2.71156E-6
0.24 -7.51826E-7 1.20067E-6 2.78934E-6
0.25 -7.26794E-7 1.52102E-6 2.85819E-6
0.26 -7.09073E-7 1.83144E-6 2.9162E-6
0.27 -6.98033E-7 2.13005E-6 2.96186E-6
0.28 -6.92254E-7 2.41325E-6 2.99347E-6
0.29 -6.90433E-7 2.67972E-6 3.01042E-6
0.3 -6.90819E-7 2.92881E-6 3.01142E-6
0.31 -6.91757E-7 3.15912E-6 2.99642E-6
0.32 -6.91385E-7 3.37172E-6 2.96495E-6
0.33 -6.88414E-7 3.56648E-6 2.91745E-6
0.34 -6.81222E-7 3.74433E-6 2.85515E-6
0.35 -6.6913E-7 3.90747E-6 2.77919E-6
0.36 -6.50965E-7 4.05722E-6 2.69093E-6
0.37 -6.26356E-7 4.1952E-6 2.59211E-6
0.38 -5.95306E-7 4.32353E-6 2.48536E-6
0.39 -5.57969E-7 4.44338E-6 2.37267E-6
0.4 -5.15044E-7 4.55567E-6 2.25642E-6
0.41 -4.67314E-7 4.66216E-6 2.13878E-6
0.42 -4.16373E-7 4.76273E-6 2.02192E-6
0.43 -3.62975E-7 4.85732E-6 1.90825E-6
0.44 -3.08689E-7 4.9455E-6 1.79899E-6
0.45 -2.55281E-7 5.02598E-6 1.69625E-6
0.46 -2.03544E-7 5.09685E-6 1.60055E-6
0.47 -1.55618E-7 5.15676E-6 1.5134E-6
0.48 -1.11662E-7 5.20336E-6 1.43483E-6
0.49 -7.24134E-8 5.23435E-6 1.36425E-6
0.5 -3.84121E-8 5.24741E-6 1.30216E-6
0.51 -1.00378E-8 5.24179E-6 1.24781E-6
0.52 1.39553E-8 5.21465E-6 1.20002E-6
0.53 3.37194E-8 5.16598E-6 1.15837E-6
0.54 5.08488E-8 5.09431E-6 1.12052E-6
0.55 6.63279E-8 5.00077E-6 1.08634E-6
0.56 8.18029E-8 4.88566E-6 1.05353E-6
0.57 9.9263E-8 4.75103E-6 1.02111E-6
0.58 1.2052E-7 4.5979E-6 9.87374E-7
0.59 1.47132E-7 4.42919E-6 9.50913E-7
0.6 1.81315E-7 4.24819E-6 9.10969E-7
0.61 2.23964E-7 4.05819E-6 8.66002E-7
0.62 2.76335E-7 3.86202E-6 8.15724E-7
0.63 3.39309E-7 3.66432E-6 7.59737E-7
0.64 4.13899E-7 3.46746E-6 6.97548E-7
0.65 4.99152E-7 3.2754E-6 6.29138E-7
0.66 5.95772E-7 3.09143E-6 5.55176E-7
0.67 7.01865E-7 2.91767E-6 4.76381E-7
0.68 8.17647E-7 2.75631E-6 3.93498E-7
0.69 9.40255E-7 2.60792E-6 3.07443E-7
0.7 1.06877E-6 2.4748E-6 2.19415E-7
0.71 1.20098E-6 2.35668E-6 1.3044E-7
0.72 1.33457E-6 2.25384E-6 4.18645E-8
0.73 1.46735E-6 2.16459E-6 -4.49687E-8
0.74 1.59733E-6 2.08869E-6 -1.28915E-7
0.75 1.72162E-6 2.02355E-6 -2.08984E-7
0.76 1.83827E-6 1.96812E-6 -2.83964E-7
0.77 1.9456E-6 1.92009E-6 -3.53401E-7
0.78 2.04147E-6 1.87804E-6 -4.16771E-7
0.79 2.12444E-6 1.83929E-6 -4.7329E-7
0.8 2.19311E-6 1.80198E-6 -5.23241E-7
0.81 2.24734E-6 1.76452E-6 -5.66155E-7
0.82 2.28537E-6 1.72508E-6 -6.02574E-7
0.83 2.30742E-6 1.68282E-6 -6.32925E-7
0.84 2.31326E-6 1.63614E-6 -6.58064E-7
0.85 2.30368E-6 1.58491E-6 -6.7844E-7
0.86 2.27858E-6 1.52872E-6 -6.9504E-7
0.87 2.23925E-6 1.4665E-6 -7.08948E-7
0.88 2.18633E-6 1.3986E-6 -7.21161E-7
0.89 2.12082E-6 1.32495E-6 -7.32887E-7
0.9 2.04431E-6 1.24427E-6 -7.45144E-7
0.91 1.95802E-6 1.15684E-6 -7.596E-7
0.92 1.86299E-6 1.06336E-6 -7.76942E-7
0.93 1.76067E-6 9.6116E-7 -7.98084E-7
0.94 1.65303E-6 8.50036E-7 -8.24406E-7
0.95 1.54051E-6 7.2922E-7 -8.5605E-7
0.96 1.42583E-6 5.98904E-7 -8.93407E-7
0.97 1.30938E-6 4.55488E-7 -9.36823E-7
0.98 1.19251E-6 3.00468E-7 -9.85891E-7
0.99 1.07704E-6 1.31089E-7 -1.03999E-6
1 9.62994E-7 -5.25251E-8 -1.09823E-6
1.01 8.5203E-7 -2.48982E-7 -1.15942E-6
1.02 7.45032E-7 -4.58983E-7 -1.22232E-6
1.03 6.41557E-7 -6.8241E-7 -1.2855E-6
1.04 5.42655E-7 -9.16957E-7 -1.34681E-6
1.05 4.48328E-7 -1.1615E-6 -1.40481E-6
1.06 3.58448E-7 -1.41234E-6 -1.45787E-6
1.07 2.72684E-7 -1.66859E-6 -1.50419E-6
1.08 1.90956E-7 -1.92646E-6 -1.54231E-6
1.09 1.12335E-7 -2.18301E-6 -1.57183E-6
1.1 3.67729E-8 -2.43511E-6 -1.59152E-6
1.11 -3.65703E-8 -2.68008E-6 -1.60018E-6
1.12 -1.08108E-7 -2.91464E-6 -1.59826E-6
1.13 -1.79167E-7 -3.13584E-6 -1.58589E-6
1.14 -2.49804E-7 -3.34268E-6 -1.5632E-6
1.15 -3.20349E-7 -3.5326E-6 -1.53115E-6
1.16 -3.92512E-7 -3.7049E-6 -1.49029E-6
1.17 -4.66028E-7 -3.85839E-6 -1.4421E-6
1.18 -5.41945E-7 -3.99435E-6 -1.38734E-6
1.19 -6.20822E-7 -4.1115E-6 -1.32831E-6
1.2 -7.02522E-7 -4.21239E-6 -1.2661E-6
1.21 -7.87902E-7 -4.2978E-6 -1.20244E-6
1.22 -8.77179E-7 -4.36949E-6 -1.13844E-6
1.23 -9.69926E-7 -4.42935E-6 -1.07594E-6
